subject/task,ecg,eda,resp,video,audio
4woj_Relax,True,True,True,True,False
4woj_Speaking,True,True,True,True,True
4woj_Stroop,True,True,True,True,True
4woj_Video1,True,True,True,True,False
4woj_Video2,True,True,True,True,False
5f7t_Breathing,True,True,True,True,False
5f7t_Counting1,True,True,True,True,True
5f7t_Counting2,True,True,True,True,True
5f7t_Counting3,True,True,True,True,True
5f7t_Math,True,True,True,True,True
5f7t_Reading,True,True,True,True,True
5f7t_Relax,True,True,True,True,False
5f7t_Speaking,True,True,True,True,True
5f7t_Stroop,True,True,True,True,True
5f7t_Video1,True,True,True,True,False
5f7t_Video2,True,True,True,True,False
6g6y_Breathing,True,True,True,True,False
6g6y_Counting1,True,True,True,True,True
6g6y_Counting2,True,True,True,True,True
6g6y_Counting3,True,True,True,True,True
6g6y_Math,True,True,True,True,True
6g6y_Reading,True,True,True,True,True
6g6y_Relax,True,True,True,True,False
6g6y_Speaking,True,True,True,True,True
6g6y_Stroop,True,True,True,True,True
6g6y_Video1,True,True,True,True,False
6g6y_Video2,True,True,True,True,False
6k5f_Breathing,True,True,True,True,False
6k5f_Counting1,True,True,True,True,True
6k5f_Counting2,True,True,True,True,True
6k5f_Counting3,True,True,True,True,True
6k5f_Math,True,True,True,True,True
6k5f_Reading,True,True,True,True,True
6k5f_Relax,True,True,True,True,False
6k5f_Speaking,True,True,True,True,True
6k5f_Stroop,True,True,True,True,True
6k5f_Video1,True,True,True,True,False
6k5f_Video2,True,True,True,True,False
71i5_Breathing,True,True,True,True,False
71i5_Counting1,True,True,True,True,False
71i5_Counting2,True,True,True,True,False
71i5_Counting3,True,True,True,True,False
71i5_Math,True,True,True,True,False
71i5_Reading,True,True,True,True,False
71i5_Relax,True,True,True,True,False
71i5_Speaking,True,True,True,True,False
71i5_Stroop,True,True,True,True,False
71i5_Video1,True,True,True,True,False
71i5_Video2,True,True,True,True,False
7h5u_Breathing,True,True,True,True,False
7h5u_Counting1,True,True,True,True,True
7h5u_Counting2,True,True,True,True,True
7h5u_Counting3,True,True,True,True,True
7h5u_Math,True,True,True,True,True
7h5u_Reading,True,True,True,True,True
7h5u_Relax,True,True,True,True,False
7h5u_Speaking,True,True,True,True,True
7h5u_Stroop,True,True,True,True,True
7h5u_Video1,True,True,True,True,False
7m3c_Breathing,True,True,True,True,False
7m3c_Counting1,True,True,True,True,True
7m3c_Counting2,True,True,True,True,True
7m3c_Counting3,True,True,True,True,True
7m3c_Math,True,True,True,True,True
7m3c_Reading,True,True,True,True,True
7m3c_Relax,True,True,True,True,False
7m3c_Speaking,True,True,True,True,True
7m3c_Stroop,True,True,True,True,True
7m3c_Video1,True,True,True,True,False
7m3c_Video2,True,True,True,True,False
8g4y_Breathing,True,True,True,True,False
8g4y_Counting1,True,True,True,True,True
8g4y_Counting2,True,True,True,True,True
8g4y_Counting3,True,True,True,True,True
8g4y_Math,True,True,True,True,True
8g4y_Reading,True,True,True,True,True
8g4y_Relax,True,True,True,True,False
8g4y_Speaking,True,True,True,True,True
8g4y_Stroop,True,True,True,True,True
8g4y_Video1,True,True,True,True,False
8g4y_Video2,True,True,True,True,False
8i4i_Breathing,True,True,True,True,False
8i4i_Counting1,True,True,True,True,True
8i4i_Counting2,True,True,True,True,True
8i4i_Counting3,True,True,True,True,True
8i4i_Math,True,True,True,True,True
8i4i_Reading,True,True,True,True,True
8i4i_Relax,True,True,True,True,False
8i4i_Speaking,True,True,True,True,True
8i4i_Stroop,True,True,True,True,True
8i4i_Video1,True,True,True,True,False
8i4i_Video2,True,True,True,True,False
9j3o_Breathing,True,True,True,False,False
9j3o_Counting1,True,True,True,False,True
9j3o_Counting2,True,True,True,False,True
9j3o_Counting3,True,True,True,False,True
9j3o_Math,True,True,True,False,True
9j3o_Reading,True,True,True,False,True
9j3o_Relax,True,True,True,False,False
9j3o_Speaking,True,True,True,False,True
9j3o_Stroop,True,True,True,False,True
9j3o_Video1,True,True,True,False,False
9j3o_Video2,True,True,True,False,False
9t6n_Breathing,True,True,True,True,False
9t6n_Counting1,True,True,True,True,True
9t6n_Counting2,True,True,True,True,True
9t6n_Counting3,True,True,True,True,True
9t6n_Math,True,True,True,True,True
9t6n_Reading,True,True,True,True,True
9t6n_Relax,True,True,True,True,False
9t6n_Speaking,True,True,True,True,True
9t6n_Stroop,True,True,True,True,True
9t6n_Video1,True,True,True,True,False
9t6n_Video2,True,True,True,True,False
9txq_Breathing,True,True,True,True,False
9txq_Counting1,True,True,True,True,True
9txq_Counting2,True,True,True,True,True
9txq_Counting3,True,True,True,True,True
9txq_Math,True,True,True,True,True
9txq_Reading,True,True,True,True,True
9txq_Relax,True,True,True,True,False
9txq_Speaking,True,True,True,True,True
9txq_Stroop,True,True,True,True,True
9txq_Video1,True,True,True,True,False
9txq_Video2,True,True,True,True,False
a1k9_Breathing,True,True,True,True,False
a1k9_Counting1,True,True,True,True,True
a1k9_Counting2,True,True,True,True,True
a1k9_Counting3,True,True,True,True,True
a1k9_Math,True,True,True,True,True
a1k9_Reading,True,True,True,True,True
a1k9_Relax,True,True,True,True,False
a1k9_Speaking,True,True,True,True,True
a1k9_Stroop,True,True,True,True,True
a1k9_Video1,True,True,True,True,False
a1k9_Video2,True,True,True,True,False
b2l8_Breathing,True,True,True,True,False
b2l8_Counting1,True,True,True,True,True
b2l8_Counting2,True,True,True,True,True
b2l8_Counting3,True,True,True,True,True
b2l8_Math,True,True,True,True,True
b2l8_Reading,True,True,True,True,True
b2l8_Relax,True,True,True,True,False
b2l8_Speaking,True,True,True,True,True
b2l8_Stroop,True,True,True,True,True
b2l8_Video1,True,True,True,True,False
b2l8_Video2,True,True,True,True,False
b9w0_Breathing,True,True,True,True,False
b9w0_Counting1,True,True,True,True,True
b9w0_Counting2,True,True,True,True,True
b9w0_Counting3,True,True,True,True,True
b9w0_Math,True,True,True,True,True
b9w0_Reading,True,True,True,True,True
b9w0_Relax,True,True,True,True,False
b9w0_Speaking,True,True,True,True,True
b9w0_Stroop,True,True,True,True,True
b9w0_Video1,True,True,True,True,False
b9w0_Video2,True,True,True,True,False
bfl5_Breathing,True,True,True,True,False
bfl5_Counting1,True,True,True,True,True
bfl5_Counting2,True,True,True,True,True
bfl5_Counting3,True,True,True,True,True
bfl5_Math,True,True,True,True,True
bfl5_Reading,True,True,True,True,True
bfl5_Relax,True,True,True,True,False
bfl5_Speaking,True,True,True,True,True
bfl5_Stroop,True,True,True,True,True
bfl5_Video1,True,True,True,True,False
bfl5_Video2,True,True,True,True,False
c3m7_Breathing,True,True,True,True,False
c3m7_Counting1,True,True,True,True,True
c3m7_Counting2,True,True,True,True,True
c3m7_Counting3,True,True,True,True,True
c3m7_Math,True,True,True,True,True
c3m7_Reading,True,True,True,True,True
c3m7_Relax,True,True,True,True,False
c3m7_Speaking,True,True,True,True,True
c3m7_Stroop,True,True,True,True,True
c3m7_Video1,True,True,True,True,False
c3m7_Video2,True,True,True,True,False
chdf_Breathing,True,True,True,True,False
chdf_Counting1,True,True,True,True,True
chdf_Counting2,True,True,True,True,True
chdf_Counting3,True,True,True,True,True
chdf_Math,True,True,True,True,True
chdf_Reading,True,True,True,True,True
chdf_Relax,True,True,True,True,False
chdf_Speaking,True,True,True,True,True
chdf_Stroop,True,True,True,True,True
chdf_Video1,True,True,True,True,False
chdf_Video2,True,True,True,True,False
ctzy_Breathing,True,True,True,True,False
ctzy_Counting1,True,True,True,True,True
ctzy_Counting2,True,True,True,True,True
ctzy_Counting3,True,True,True,True,True
ctzy_Math,True,True,True,True,True
ctzy_Reading,True,True,True,True,True
ctzy_Relax,True,True,True,True,False
ctzy_Speaking,True,True,True,True,True
ctzy_Stroop,True,True,True,True,True
ctzy_Video1,True,True,True,True,False
ctzy_Video2,True,True,True,True,False
cxj0_Breathing,True,True,True,True,False
cxj0_Counting1,True,True,True,True,True
cxj0_Counting2,True,True,True,True,True
cxj0_Counting3,True,True,True,True,True
cxj0_Math,True,True,True,True,True
cxj0_Reading,True,True,True,True,True
cxj0_Relax,True,True,True,True,False
cxj0_Speaking,True,True,True,True,True
cxj0_Stroop,True,True,True,True,True
cxj0_Video1,True,True,True,True,False
cxj0_Video2,True,True,True,True,False
d4n6_Breathing,True,True,True,True,False
d4n6_Counting1,True,True,True,True,True
d4n6_Counting2,True,True,True,True,True
d4n6_Counting3,True,True,True,True,True
d4n6_Math,True,True,True,True,True
d4n6_Reading,True,True,True,True,True
d4n6_Relax,True,True,True,True,False
d4n6_Speaking,True,True,True,True,True
d4n6_Stroop,True,True,True,True,True
d4n6_Video1,True,True,True,True,False
d4n6_Video2,True,True,True,True,False
dmbd_Breathing,True,True,True,False,False
dmbd_Counting1,True,True,True,False,False
dmbd_Counting2,True,True,True,False,False
dmbd_Counting3,True,True,True,False,False
dmbd_Math,True,True,True,False,False
dmbd_Reading,True,True,True,False,False
dmbd_Relax,True,True,True,False,False
dmbd_Speaking,True,True,True,False,False
dmbd_Stroop,True,True,True,False,False
dmbd_Video1,True,True,True,False,False
dmbd_Video2,True,True,True,False,False
e5p4_Breathing,True,True,True,True,False
e5p4_Counting1,True,True,True,True,True
e5p4_Counting2,True,True,True,True,True
e5p4_Counting3,True,True,True,True,True
e5p4_Math,True,True,True,True,True
e5p4_Reading,True,True,True,True,True
e5p4_Relax,True,True,True,True,False
e5p4_Speaking,True,True,True,True,True
e5p4_Stroop,True,True,True,True,True
e5p4_Video1,True,True,True,True,False
e5p4_Video2,True,True,True,True,False
f6q3_Breathing,True,True,True,True,False
f6q3_Counting1,True,True,True,True,False
f6q3_Counting2,True,True,True,True,False
f6q3_Counting3,True,True,True,True,False
f6q3_Math,True,True,True,True,False
f6q3_Reading,True,True,True,True,False
f6q3_Relax,True,True,True,True,False
f6q3_Speaking,True,True,True,True,False
f6q3_Stroop,True,True,True,True,False
f6q3_Video1,True,True,True,True,False
f6q3_Video2,True,True,True,True,False
g7r2_Breathing,True,True,True,True,False
g7r2_Counting1,True,True,True,True,True
g7r2_Counting2,True,True,True,True,True
g7r2_Counting3,True,True,True,True,True
g7r2_Math,True,True,True,True,True
g7r2_Reading,True,True,True,True,True
g7r2_Relax,True,True,True,True,False
g7r2_Speaking,True,True,True,True,True
g7r2_Stroop,True,True,True,True,True
g7r2_Video1,True,True,True,True,False
g7r2_Video2,True,True,True,True,False
g9j5_Breathing,True,True,True,True,False
g9j5_Counting1,True,True,True,True,True
g9j5_Counting2,True,True,True,True,True
g9j5_Counting3,True,True,True,True,True
g9j5_Math,True,True,True,True,True
g9j5_Reading,True,True,True,True,True
g9j5_Relax,True,True,True,True,False
g9j5_Speaking,True,True,True,True,True
g9j5_Stroop,True,True,True,True,True
g9j5_Video1,True,True,True,True,False
g9j5_Video2,True,True,True,True,False
h7j3_Breathing,True,True,True,True,False
h7j3_Counting1,True,True,True,True,True
h7j3_Counting2,True,True,True,True,True
h7j3_Counting3,True,True,True,True,True
h7j3_Math,True,True,True,True,True
h7j3_Reading,True,True,True,True,True
h7j3_Speaking,True,True,True,True,True
h7j3_Stroop,True,True,True,True,True
h7j3_Video1,True,True,True,True,False
h7j3_Video2,True,True,True,True,False
h8r2_Breathing,True,True,True,False,False
h8r2_Counting1,True,True,True,True,True
h8r2_Counting2,True,True,True,True,True
h8r2_Counting3,True,True,True,True,True
h8r2_Math,True,True,True,True,True
h8r2_Reading,True,True,True,True,True
h8r2_Relax,True,True,True,True,False
h8r2_Speaking,True,True,True,True,True
h8r2_Stroop,True,True,True,True,True
h8r2_Video1,True,True,True,True,False
h8r2_Video2,True,True,True,True,False
h8s1_Breathing,True,True,True,True,False
h8s1_Counting1,True,True,True,True,True
h8s1_Counting2,True,True,True,True,True
h8s1_Counting3,True,True,True,True,True
h8s1_Math,True,True,True,True,True
h8s1_Reading,True,True,True,True,True
h8s1_Relax,True,True,True,True,False
h8s1_Speaking,True,True,True,True,True
h8s1_Stroop,True,True,True,True,True
h8s1_Video1,True,True,True,True,False
h8s1_Video2,True,True,True,True,False
hvpa_Breathing,True,True,True,False,False
hvpa_Counting1,True,True,True,False,False
hvpa_Counting2,True,True,True,False,False
hvpa_Counting3,True,True,True,False,False
hvpa_Math,True,True,True,False,False
hvpa_Reading,True,True,True,False,False
hvpa_Relax,True,True,True,False,False
hvpa_Speaking,True,True,True,False,False
hvpa_Stroop,True,True,True,False,False
hvpa_Video1,True,True,True,False,False
hvpa_Video2,True,True,True,False,False
i9t9_Breathing,True,True,True,True,False
i9t9_Counting1,True,True,True,True,True
i9t9_Counting2,True,True,True,True,True
i9t9_Counting3,True,True,True,True,True
i9t9_Math,True,True,True,True,True
i9t9_Reading,True,True,True,True,True
i9t9_Relax,True,True,True,True,False
i9t9_Speaking,True,True,True,True,True
i9t9_Stroop,True,True,True,True,True
i9t9_Video1,True,True,True,True,False
i9t9_Video2,True,True,True,True,False
iqyg_Breathing,True,True,True,True,False
iqyg_Counting1,True,True,True,True,True
iqyg_Counting2,True,True,True,True,True
iqyg_Counting3,True,True,True,True,True
iqyg_Math,True,True,True,True,True
iqyg_Reading,True,True,True,True,True
iqyg_Relax,True,True,True,True,False
iqyg_Speaking,True,True,True,True,True
iqyg_Stroop,True,True,True,True,True
iqyg_Video1,True,True,True,True,False
iqyg_Video2,True,True,True,True,False
j1u8_Breathing,True,True,True,True,False
j1u8_Counting1,True,True,True,True,True
j1u8_Counting2,True,True,True,True,True
j1u8_Counting3,True,True,True,True,True
j1u8_Math,True,True,True,True,True
j1u8_Reading,True,True,True,True,True
j1u8_Relax,True,True,True,True,False
j1u8_Speaking,True,True,True,True,True
j1u8_Stroop,True,True,True,True,True
j1u8_Video2,True,True,True,True,False
j9h8_Breathing,True,True,True,True,False
j9h8_Counting1,True,True,True,True,True
j9h8_Counting2,True,True,True,True,True
j9h8_Counting3,True,True,True,True,True
j9h8_Math,True,True,True,True,True
j9h8_Reading,True,True,True,True,True
j9h8_Relax,True,True,True,True,False
j9h8_Speaking,True,True,True,True,True
j9h8_Stroop,True,True,True,True,True
j9h8_Video1,True,True,True,True,False
j9h8_Video2,True,True,True,True,False
k2v7_Breathing,True,True,True,True,False
k2v7_Counting1,True,True,True,True,True
k2v7_Counting2,True,True,True,True,True
k2v7_Counting3,True,True,True,True,True
k2v7_Math,True,True,True,True,True
k2v7_Reading,True,True,True,True,True
k2v7_Relax,True,True,True,True,False
k2v7_Speaking,True,True,True,True,True
k2v7_Stroop,True,True,True,True,True
k2v7_Video1,True,True,True,True,False
k2v7_Video2,True,True,True,True,False
k67g_Breathing,True,True,True,False,False
k67g_Counting1,True,True,True,True,True
k67g_Counting2,True,True,True,True,True
k67g_Counting3,True,True,True,True,True
k67g_Math,True,True,True,True,True
k67g_Reading,True,True,True,True,True
k67g_Relax,True,True,True,True,False
k67g_Speaking,True,True,True,True,True
k67g_Stroop,True,True,True,True,True
k67g_Video1,True,True,True,True,False
k67g_Video2,True,True,True,True,False
kkf5_Breathing,True,True,True,True,False
kkf5_Counting1,True,True,True,True,True
kkf5_Counting2,True,True,True,True,True
kkf5_Counting3,True,True,True,True,True
kkf5_Math,True,True,True,True,True
kkf5_Reading,True,True,True,True,True
kkf5_Relax,True,True,True,True,False
kkf5_Speaking,True,True,True,True,True
kkf5_Stroop,True,True,True,True,True
kkf5_Video1,True,True,True,True,False
kkf5_Video2,True,True,True,True,False
kycf_Breathing,True,True,True,True,False
kycf_Counting1,True,True,True,True,True
kycf_Counting2,True,True,True,True,True
kycf_Counting3,True,True,True,True,True
kycf_Math,True,True,True,True,True
kycf_Reading,True,True,True,True,True
kycf_Relax,True,True,True,True,False
kycf_Speaking,True,True,True,True,True
kycf_Stroop,True,True,True,True,True
kycf_Video1,True,True,True,True,False
kycf_Video2,True,True,True,True,False
m8g5_Breathing,True,True,True,True,False
m8g5_Counting1,True,True,True,True,True
m8g5_Counting2,True,True,True,True,True
m8g5_Counting3,True,True,True,True,True
m8g5_Math,True,True,True,True,True
m8g5_Reading,True,True,True,True,True
m8g5_Relax,True,True,True,True,False
m8g5_Speaking,True,True,True,True,True
m8g5_Stroop,True,True,True,True,True
m8g5_Video1,True,True,True,True,False
m8g5_Video2,True,True,True,True,False
p9i3_Breathing,True,True,True,True,False
p9i3_Counting1,True,True,True,True,True
p9i3_Counting2,True,True,True,True,True
p9i3_Counting3,True,True,True,True,True
p9i3_Math,True,True,True,True,True
p9i3_Reading,True,True,True,True,True
p9i3_Relax,True,True,True,True,False
p9i3_Speaking,True,True,True,True,True
p9i3_Stroop,True,True,True,True,True
p9i3_Video1,True,True,True,True,False
p9i3_Video2,True,True,True,True,False
ql3b_Breathing,True,True,True,False,False
ql3b_Counting1,True,True,True,False,False
ql3b_Counting2,True,True,True,False,False
ql3b_Counting3,True,True,True,False,False
ql3b_Math,True,True,True,False,False
ql3b_Reading,True,True,True,False,False
ql3b_Relax,True,True,True,False,False
ql3b_Speaking,True,True,True,False,False
ql3b_Stroop,True,True,True,False,False
ql3b_Video1,True,True,True,False,False
ql3b_Video2,True,True,True,False,False
qw5t_Breathing,True,True,True,True,False
qw5t_Counting1,True,True,True,True,True
qw5t_Counting2,True,True,True,True,True
qw5t_Counting3,True,True,True,True,True
qw5t_Math,True,True,True,True,True
qw5t_Reading,True,True,True,True,True
qw5t_Relax,True,True,True,True,False
qw5t_Speaking,True,True,True,True,True
qw5t_Stroop,True,True,True,True,True
qw5t_Video1,True,True,True,True,False
qw5t_Video2,True,True,True,True,False
qx2o_Breathing,True,True,True,False,False
qx2o_Counting1,True,True,True,False,False
qx2o_Counting2,True,True,True,False,False
qx2o_Counting3,True,True,True,False,False
qx2o_Math,True,True,True,False,False
qx2o_Reading,True,True,True,False,False
qx2o_Relax,True,True,True,False,False
qx2o_Speaking,True,True,True,False,False
qx2o_Stroop,True,True,True,False,False
qx2o_Video1,True,True,True,False,False
qx2o_Video2,True,True,True,False,False
r0a3_Breathing,True,True,True,False,False
r0a3_Counting1,True,True,True,False,False
r0a3_Counting2,True,True,True,False,False
r0a3_Counting3,True,True,True,False,False
r0a3_Math,True,True,True,False,False
r0a3_Reading,True,True,True,False,False
r0a3_Relax,True,True,True,False,False
r0a3_Speaking,True,True,True,False,False
r0a3_Stroop,True,True,True,False,False
r0a3_Video1,True,True,True,False,False
r0a3_Video2,True,True,True,False,False
r3zm_Breathing,True,True,True,True,False
r3zm_Counting1,True,True,True,True,True
r3zm_Counting2,True,True,True,True,True
r3zm_Counting3,True,True,True,True,True
r3zm_Math,True,True,True,True,True
r3zm_Reading,True,True,True,True,True
r3zm_Relax,True,True,True,True,False
r3zm_Speaking,True,True,True,True,True
r3zm_Stroop,True,True,True,True,True
r3zm_Video1,True,True,True,True,False
r3zm_Video2,True,True,True,True,False
r5s8_Breathing,True,True,True,True,False
r5s8_Counting1,True,True,True,True,True
r5s8_Counting2,True,True,True,True,True
r5s8_Counting3,True,False,True,True,True
r5s8_Math,True,True,True,True,True
r5s8_Reading,True,True,True,True,True
r5s8_Relax,True,True,True,True,False
r5s8_Speaking,True,True,True,True,True
r5s8_Stroop,True,True,True,True,True
r5s8_Video1,True,True,True,True,False
r5s8_Video2,True,True,True,True,False
t6v9_Breathing,True,True,True,True,False
t6v9_Counting1,True,True,True,True,True
t6v9_Counting2,True,True,True,True,True
t6v9_Counting3,True,True,True,True,True
t6v9_Math,True,True,True,True,True
t6v9_Reading,True,True,True,True,True
t6v9_Relax,True,True,True,True,False
t6v9_Speaking,True,True,True,True,True
t6v9_Stroop,True,True,True,True,True
t6v9_Video1,True,True,True,True,False
t6v9_Video2,True,True,True,True,False
tmvd_Breathing,True,True,True,True,False
tmvd_Counting1,True,True,True,True,True
tmvd_Counting2,True,True,True,True,True
tmvd_Counting3,True,True,True,True,True
tmvd_Math,True,True,True,True,True
tmvd_Reading,True,True,True,True,True
tmvd_Relax,True,True,True,True,False
tmvd_Speaking,True,True,True,True,True
tmvd_Stroop,True,True,True,True,True
tmvd_Video1,True,True,True,True,False
tmvd_Video2,True,True,True,True,False
u3v9_Breathing,True,True,True,True,False
u3v9_Counting1,True,True,True,True,True
u3v9_Counting2,True,True,True,True,True
u3v9_Counting3,True,True,True,True,True
u3v9_Math,True,True,True,True,True
u3v9_Reading,True,True,True,True,True
u3v9_Relax,True,True,True,True,False
u3v9_Speaking,True,True,True,True,True
u3v9_Stroop,True,True,True,True,True
u3v9_Video1,True,True,True,True,False
u3v9_Video2,True,True,True,True,False
uymz_Breathing,True,True,True,True,False
uymz_Counting1,True,True,True,True,True
uymz_Counting2,True,True,True,True,True
uymz_Counting3,True,True,True,True,True
uymz_Math,True,True,True,True,True
uymz_Reading,True,True,True,True,True
uymz_Relax,True,True,True,True,False
uymz_Speaking,True,True,True,True,True
uymz_Stroop,True,True,True,True,True
uymz_Video1,True,True,True,True,False
uymz_Video2,True,True,True,True,False
uyrl_Breathing,True,True,True,False,False
uyrl_Counting1,True,True,True,False,False
uyrl_Counting2,True,True,True,False,False
uyrl_Counting3,True,True,True,False,False
uyrl_Math,True,True,True,False,False
uyrl_Reading,True,True,True,False,False
uyrl_Relax,True,True,True,False,False
uyrl_Speaking,True,True,True,False,False
uyrl_Stroop,True,True,True,False,False
uyrl_Video1,True,True,True,False,False
uyrl_Video2,True,True,True,False,False
v8mh_Breathing,True,True,True,True,False
v8mh_Counting1,True,True,True,True,True
v8mh_Counting2,True,True,True,True,True
v8mh_Counting3,True,True,True,True,True
v8mh_Math,True,True,True,True,True
v8mh_Reading,True,True,True,True,True
v8mh_Relax,True,True,True,True,False
v8mh_Speaking,True,True,True,True,True
v8mh_Stroop,True,True,True,True,True
v8mh_Video1,True,True,True,True,False
v8mh_Video2,True,True,True,True,False
w2t5_Breathing,True,True,True,True,False
w2t5_Counting1,True,True,True,True,True
w2t5_Counting2,True,True,True,True,True
w2t5_Counting3,True,True,True,True,True
w2t5_Math,True,True,True,True,True
w2t5_Reading,True,True,True,True,True
w2t5_Relax,True,True,True,True,False
w2t5_Speaking,True,True,True,True,True
w2t5_Stroop,True,True,True,True,True
w2t5_Video1,True,True,True,True,False
w2t5_Video2,True,True,True,True,False
wfsl_Breathing,True,True,True,False,False
wfsl_Counting1,True,True,True,False,False
wfsl_Counting2,True,True,True,False,False
wfsl_Counting3,True,True,True,False,False
wfsl_Math,True,True,True,False,False
wfsl_Reading,True,True,True,False,False
wfsl_Speaking,True,True,True,False,False
wfsl_Stroop,True,True,True,False,False
wfsl_Video1,True,True,True,False,False
wfsl_Video2,True,True,True,False,False
wssm_Breathing,True,True,True,True,False
wssm_Counting1,True,True,True,True,True
wssm_Counting2,True,True,True,True,True
wssm_Counting3,True,True,True,True,True
wssm_Math,True,True,True,True,True
wssm_Reading,True,True,True,True,True
wssm_Relax,True,True,True,True,False
wssm_Speaking,True,True,True,True,True
wssm_Stroop,True,True,True,True,True
wssm_Video1,True,True,True,True,False
wssm_Video2,True,True,True,True,False
x1q3_Breathing,True,True,True,True,False
x1q3_Counting1,True,True,True,True,True
x1q3_Counting2,True,True,True,True,True
x1q3_Counting3,True,True,True,True,True
x1q3_Math,True,True,True,True,True
x1q3_Reading,True,True,True,True,True
x1q3_Relax,True,True,True,True,False
x1q3_Speaking,True,True,True,True,True
x1q3_Stroop,True,True,True,True,True
x1q3_Video1,True,True,True,True,False
x1q3_Video2,True,True,True,True,False
y8c3_Breathing,True,True,True,True,False
y8c3_Counting1,True,True,True,True,True
y8c3_Counting2,True,True,True,True,True
y8c3_Counting3,True,True,True,True,True
y8c3_Math,True,True,True,True,True
y8c3_Reading,True,True,True,True,True
y8c3_Relax,True,True,True,True,False
y8c3_Speaking,True,True,True,True,True
y8c3_Stroop,True,True,True,True,True
y8c3_Video1,True,True,True,True,False
y8c3_Video2,True,True,True,True,False
y9z6_Breathing,True,True,True,True,False
y9z6_Counting1,True,True,True,True,True
y9z6_Counting2,True,True,True,True,True
y9z6_Counting3,True,True,True,True,True
y9z6_Math,True,True,True,True,True
y9z6_Reading,True,True,True,True,True
y9z6_Relax,True,True,True,True,False
y9z6_Speaking,True,True,True,True,True
y9z6_Stroop,True,True,True,True,True
y9z6_Video1,True,True,True,True,False
y9z6_Video2,True,True,True,True,False
