,subject,task,ecg,eda,resp,video,audio,n_modalities,has_label,pattern
4e8r_Math,4e8r,Math,1,1,1,1,1,5,1,11111
4e8r_Reading,4e8r,Reading,1,1,1,1,1,5,1,11111
4e8r_Relax,4e8r,Relax,1,1,1,1,0,4,1,11110
4e8r_Speaking,4e8r,Speaking,1,1,1,1,1,5,1,11111
4e8r_Stroop,4e8r,Stroop,1,1,1,1,1,5,1,11111
4e8r_Video1,4e8r,Video1,1,1,1,1,0,4,1,11110
4e8r_Video2,4e8r,Video2,1,1,1,1,0,4,1,11110
4woj_Baseline,4woj,Baseline,1,1,1,0,0,3,0,11100
4woj_Breathing,4woj,Breathing,1,1,1,1,0,4,1,11110
4woj_Counting1,4woj,Counting1,1,1,1,1,1,5,1,11111
4woj_Counting2,4woj,Counting2,1,1,1,1,1,5,1,11111
4woj_Counting3,4woj,Counting3,1,1,1,1,1,5,1,11111
4woj_Math,4woj,Math,1,1,1,1,1,5,1,11111
4woj_Reading,4woj,Reading,1,1,1,1,1,5,1,11111
4woj_Relax,4woj,Relax,1,1,1,1,0,4,1,11110
4woj_Speaking,4woj,Speaking,1,1,1,1,1,5,1,11111
4woj_Stroop,4woj,Stroop,1,1,1,1,1,5,1,11111
4woj_Video1,4woj,Video1,1,1,1,1,0,4,1,11110
4woj_Video2,4woj,Video2,1,1,1,1,0,4,1,11110
5f7t_Baseline,5f7t,Baseline,1,1,1,0,0,3,0,11100
5f7t_Breathing,5f7t,Breathing,1,1,1,1,0,4,1,11110
5f7t_Counting1,5f7t,Counting1,1,1,1,1,1,5,1,11111
5f7t_Counting2,5f7t,Counting2,1,1,1,1,1,5,1,11111
5f7t_Counting3,5f7t,Counting3,1,1,1,1,1,5,1,11111
5f7t_Math,5f7t,Math,1,1,1,1,1,5,1,11111
5f7t_Reading,5f7t,Reading,1,1,1,1,1,5,1,11111
5f7t_Relax,5f7t,Relax,1,1,1,1,0,4,1,11110
5f7t_Speaking,5f7t,Speaking,1,1,1,1,1,5,1,11111
5f7t_Stroop,5f7t,Stroop,1,1,1,1,1,5,1,11111
5f7t_Video1,5f7t,Video1,1,1,1,1,0,4,1,11110
5f7t_Video2,5f7t,Video2,1,1,1,1,0,4,1,11110
6g6y_Baseline,6g6y,Baseline,1,1,1,0,0,3,0,11100
6g6y_Breathing,6g6y,Breathing,1,1,1,1,0,4,1,11110
6g6y_Counting1,6g6y,Counting1,1,1,1,1,1,5,1,11111
6g6y_Counting2,6g6y,Counting2,1,1,1,1,1,5,1,11111
6g6y_Counting3,6g6y,Counting3,1,1,1,1,1,5,1,11111
6g6y_Math,6g6y,Math,1,1,1,1,1,5,1,11111
6g6y_Reading,6g6y,Reading,1,1,1,1,1,5,1,11111
6g6y_Relax,6g6y,Relax,1,1,1,1,0,4,1,11110
6g6y_Speaking,6g6y,Speaking,1,1,1,1,1,5,1,11111
6g6y_Stroop,6g6y,Stroop,1,1,1,1,1,5,1,11111
6g6y_Video1,6g6y,Video1,1,1,1,1,0,4,1,11110
6g6y_Video2,6g6y,Video2,1,1,1,1,0,4,1,11110
6k5f_Baseline,6k5f,Baseline,1,1,1,0,0,3,0,11100
6k5f_Breathing,6k5f,Breathing,1,1,1,1,0,4,1,11110
6k5f_Counting1,6k5f,Counting1,1,1,1,1,1,5,1,11111
6k5f_Counting2,6k5f,Counting2,1,1,1,1,1,5,1,11111
6k5f_Counting3,6k5f,Counting3,1,1,1,1,1,5,1,11111
6k5f_Math,6k5f,Math,1,1,1,1,1,5,1,11111
6k5f_Reading,6k5f,Reading,1,1,1,1,1,5,1,11111
6k5f_Relax,6k5f,Relax,1,1,1,1,0,4,1,11110
6k5f_Speaking,6k5f,Speaking,1,1,1,1,1,5,1,11111
6k5f_Stroop,6k5f,Stroop,1,1,1,1,1,5,1,11111
6k5f_Video1,6k5f,Video1,1,1,1,1,0,4,1,11110
6k5f_Video2,6k5f,Video2,1,1,1,1,0,4,1,11110
71i5_Baseline,71i5,Baseline,1,1,1,0,0,3,0,11100
71i5_Breathing,71i5,Breathing,1,1,1,1,0,4,1,11110
71i5_Counting1,71i5,Counting1,1,1,1,1,0,4,1,11110
71i5_Counting2,71i5,Counting2,1,1,1,1,0,4,1,11110
71i5_Counting3,71i5,Counting3,1,1,1,1,0,4,1,11110
71i5_Math,71i5,Math,1,1,1,1,0,4,1,11110
71i5_Reading,71i5,Reading,1,1,1,1,0,4,1,11110
71i5_Relax,71i5,Relax,1,1,1,1,0,4,1,11110
71i5_Speaking,71i5,Speaking,1,1,1,1,0,4,1,11110
71i5_Stroop,71i5,Stroop,1,1,1,1,0,4,1,11110
71i5_Video1,71i5,Video1,1,1,1,1,0,4,1,11110
71i5_Video2,71i5,Video2,1,1,1,1,0,4,1,11110
7h5u_Baseline,7h5u,Baseline,1,1,1,0,0,3,0,11100
7h5u_Breathing,7h5u,Breathing,1,1,1,1,0,4,1,11110
7h5u_Counting1,7h5u,Counting1,1,1,1,1,1,5,1,11111
7h5u_Counting2,7h5u,Counting2,1,1,1,1,1,5,1,11111
7h5u_Counting3,7h5u,Counting3,1,1,1,1,1,5,1,11111
7h5u_Math,7h5u,Math,1,1,1,1,1,5,1,11111
7h5u_Reading,7h5u,Reading,1,1,1,1,1,5,1,11111
7h5u_Relax,7h5u,Relax,1,1,1,1,0,4,1,11110
7h5u_Speaking,7h5u,Speaking,1,1,1,1,1,5,1,11111
7h5u_Stroop,7h5u,Stroop,1,1,1,1,1,5,1,11111
7h5u_Video1,7h5u,Video1,1,1,1,1,0,4,1,11110
7h5u_Video2,7h5u,Video2,0,0,0,1,0,1,0,00010
7m3c_Baseline,7m3c,Baseline,1,1,1,0,0,3,0,11100
7m3c_Breathing,7m3c,Breathing,1,1,1,1,0,4,1,11110
7m3c_Counting1,7m3c,Counting1,1,1,1,1,1,5,1,11111
7m3c_Counting2,7m3c,Counting2,1,1,1,1,1,5,1,11111
7m3c_Counting3,7m3c,Counting3,1,1,1,1,1,5,1,11111
7m3c_Math,7m3c,Math,1,1,1,1,1,5,1,11111
7m3c_Reading,7m3c,Reading,1,1,1,1,1,5,1,11111
7m3c_Relax,7m3c,Relax,1,1,1,1,0,4,1,11110
7m3c_Speaking,7m3c,Speaking,1,1,1,1,1,5,1,11111
7m3c_Stroop,7m3c,Stroop,1,1,1,1,1,5,1,11111
7m3c_Video1,7m3c,Video1,1,1,1,1,0,4,1,11110
7m3c_Video2,7m3c,Video2,1,1,1,1,0,4,1,11110
8g4y_Baseline,8g4y,Baseline,1,1,1,0,0,3,0,11100
8g4y_Breathing,8g4y,Breathing,1,1,1,1,0,4,1,11110
8g4y_Counting1,8g4y,Counting1,1,1,1,1,1,5,1,11111
8g4y_Counting2,8g4y,Counting2,1,1,1,1,1,5,1,11111
8g4y_Counting3,8g4y,Counting3,1,1,1,1,1,5,1,11111
8g4y_Math,8g4y,Math,1,1,1,1,1,5,1,11111
8g4y_Reading,8g4y,Reading,1,1,1,1,1,5,1,11111
8g4y_Relax,8g4y,Relax,1,1,1,1,0,4,1,11110
8g4y_Speaking,8g4y,Speaking,1,1,1,1,1,5,1,11111
8g4y_Stroop,8g4y,Stroop,1,1,1,1,1,5,1,11111
8g4y_Video1,8g4y,Video1,1,1,1,1,0,4,1,11110
8g4y_Video2,8g4y,Video2,1,1,1,1,0,4,1,11110
8i4i_Baseline,8i4i,Baseline,1,1,1,0,0,3,0,11100
8i4i_Breathing,8i4i,Breathing,1,1,1,1,0,4,1,11110
8i4i_Counting1,8i4i,Counting1,1,1,1,1,1,5,1,11111
8i4i_Counting2,8i4i,Counting2,1,1,1,1,1,5,1,11111
8i4i_Counting3,8i4i,Counting3,1,1,1,1,1,5,1,11111
8i4i_Math,8i4i,Math,1,1,1,1,1,5,1,11111
8i4i_Reading,8i4i,Reading,1,1,1,1,1,5,1,11111
8i4i_Relax,8i4i,Relax,1,1,1,1,0,4,1,11110
8i4i_Speaking,8i4i,Speaking,1,1,1,1,1,5,1,11111
8i4i_Stroop,8i4i,Stroop,1,1,1,1,1,5,1,11111
8i4i_Video1,8i4i,Video1,1,1,1,1,0,4,1,11110
8i4i_Video2,8i4i,Video2,1,1,1,1,0,4,1,11110
9j3o_Baseline,9j3o,Baseline,1,1,1,0,0,3,0,11100
9j3o_Breathing,9j3o,Breathing,1,1,1,0,0,3,1,11100
9j3o_Counting1,9j3o,Counting1,1,1,1,0,1,4,1,11101
9j3o_Counting2,9j3o,Counting2,1,1,1,0,1,4,1,11101
9j3o_Counting3,9j3o,Counting3,1,1,1,0,1,4,1,11101
9j3o_Math,9j3o,Math,1,1,1,0,1,4,1,11101
9j3o_Reading,9j3o,Reading,1,1,1,0,1,4,1,11101
9j3o_Relax,9j3o,Relax,1,1,1,0,0,3,1,11100
9j3o_Speaking,9j3o,Speaking,1,1,1,0,1,4,1,11101
9j3o_Stroop,9j3o,Stroop,1,1,1,0,1,4,1,11101
9j3o_Video1,9j3o,Video1,1,1,1,0,0,3,1,11100
9j3o_Video2,9j3o,Video2,1,1,1,0,0,3,1,11100
9t6n_Baseline,9t6n,Baseline,1,1,1,0,0,3,0,11100
9t6n_Breathing,9t6n,Breathing,1,1,1,1,0,4,1,11110
9t6n_Counting1,9t6n,Counting1,1,1,1,1,1,5,1,11111
9t6n_Counting2,9t6n,Counting2,1,1,1,1,1,5,1,11111
9t6n_Counting3,9t6n,Counting3,1,1,1,1,1,5,1,11111
9t6n_Math,9t6n,Math,1,1,1,1,1,5,1,11111
9t6n_Reading,9t6n,Reading,1,1,1,1,1,5,1,11111
9t6n_Relax,9t6n,Relax,1,1,1,1,0,4,1,11110
9t6n_Speaking,9t6n,Speaking,1,1,1,1,1,5,1,11111
9t6n_Stroop,9t6n,Stroop,1,1,1,1,1,5,1,11111
9t6n_Video1,9t6n,Video1,1,1,1,1,0,4,1,11110
9t6n_Video2,9t6n,Video2,1,1,1,1,0,4,1,11110
9txq_Baseline,9txq,Baseline,1,1,1,0,0,3,0,11100
9txq_Breathing,9txq,Breathing,1,1,1,1,0,4,1,11110
9txq_Counting1,9txq,Counting1,1,1,1,1,1,5,1,11111
9txq_Counting2,9txq,Counting2,1,1,1,1,1,5,1,11111
9txq_Counting3,9txq,Counting3,1,1,1,1,1,5,1,11111
9txq_Math,9txq,Math,1,1,1,1,1,5,1,11111
9txq_Reading,9txq,Reading,1,1,1,1,1,5,1,11111
9txq_Relax,9txq,Relax,1,1,1,1,0,4,1,11110
9txq_Speaking,9txq,Speaking,1,1,1,1,1,5,1,11111
9txq_Stroop,9txq,Stroop,1,1,1,1,1,5,1,11111
9txq_Video1,9txq,Video1,1,1,1,1,0,4,1,11110
9txq_Video2,9txq,Video2,1,1,1,1,0,4,1,11110
a1k9_Baseline,a1k9,Baseline,1,1,1,0,0,3,0,11100
a1k9_Breathing,a1k9,Breathing,1,1,1,1,0,4,1,11110
a1k9_Counting1,a1k9,Counting1,1,1,1,1,1,5,1,11111
a1k9_Counting2,a1k9,Counting2,1,1,1,1,1,5,1,11111
a1k9_Counting3,a1k9,Counting3,1,1,1,1,1,5,1,11111
a1k9_Math,a1k9,Math,1,1,1,1,1,5,1,11111
a1k9_Reading,a1k9,Reading,1,1,1,1,1,5,1,11111
a1k9_Relax,a1k9,Relax,1,1,1,1,0,4,1,11110
a1k9_Speaking,a1k9,Speaking,1,1,1,1,1,5,1,11111
a1k9_Stroop,a1k9,Stroop,1,1,1,1,1,5,1,11111
a1k9_Video1,a1k9,Video1,1,1,1,1,0,4,1,11110
a1k9_Video2,a1k9,Video2,1,1,1,1,0,4,1,11110
b2l8_Baseline,b2l8,Baseline,1,1,1,0,0,3,0,11100
b2l8_Breathing,b2l8,Breathing,1,1,1,1,0,4,1,11110
b2l8_Counting1,b2l8,Counting1,1,1,1,1,1,5,1,11111
b2l8_Counting2,b2l8,Counting2,1,1,1,1,1,5,1,11111
b2l8_Counting3,b2l8,Counting3,1,1,1,1,1,5,1,11111
b2l8_Math,b2l8,Math,1,1,1,1,1,5,1,11111
b2l8_Reading,b2l8,Reading,1,1,1,1,1,5,1,11111
b2l8_Relax,b2l8,Relax,1,1,1,1,0,4,1,11110
b2l8_Speaking,b2l8,Speaking,1,1,1,1,1,5,1,11111
b2l8_Stroop,b2l8,Stroop,1,1,1,1,1,5,1,11111
b2l8_Video1,b2l8,Video1,1,1,1,1,0,4,1,11110
b2l8_Video2,b2l8,Video2,1,1,1,1,0,4,1,11110
b9w0_Baseline,b9w0,Baseline,1,1,1,0,0,3,0,11100
b9w0_Breathing,b9w0,Breathing,1,1,1,1,0,4,1,11110
b9w0_Counting1,b9w0,Counting1,1,1,1,1,1,5,1,11111
b9w0_Counting2,b9w0,Counting2,1,1,1,1,1,5,1,11111
b9w0_Counting3,b9w0,Counting3,1,1,1,1,1,5,1,11111
b9w0_Math,b9w0,Math,1,1,1,1,1,5,1,11111
b9w0_Reading,b9w0,Reading,1,1,1,1,1,5,1,11111
b9w0_Relax,b9w0,Relax,1,1,1,1,0,4,1,11110
b9w0_Speaking,b9w0,Speaking,1,1,1,1,1,5,1,11111
b9w0_Stroop,b9w0,Stroop,1,1,1,1,1,5,1,11111
b9w0_Video1,b9w0,Video1,1,1,1,1,0,4,1,11110
b9w0_Video2,b9w0,Video2,1,1,1,1,0,4,1,11110
bfl5_Baseline,bfl5,Baseline,1,1,1,0,0,3,0,11100
bfl5_Breathing,bfl5,Breathing,1,1,1,1,0,4,1,11110
bfl5_Counting1,bfl5,Counting1,1,1,1,1,1,5,1,11111
bfl5_Counting2,bfl5,Counting2,1,1,1,1,1,5,1,11111
bfl5_Counting3,bfl5,Counting3,1,1,1,1,1,5,1,11111
bfl5_Math,bfl5,Math,1,1,1,1,1,5,1,11111
bfl5_Reading,bfl5,Reading,1,1,1,1,1,5,1,11111
bfl5_Relax,bfl5,Relax,1,1,1,1,0,4,1,11110
bfl5_Speaking,bfl5,Speaking,1,1,1,1,1,5,1,11111
bfl5_Stroop,bfl5,Stroop,1,1,1,1,1,5,1,11111
bfl5_Video1,bfl5,Video1,1,1,1,1,0,4,1,11110
bfl5_Video2,bfl5,Video2,1,1,1,1,0,4,1,11110
c3m7_Baseline,c3m7,Baseline,1,1,1,0,0,3,0,11100
c3m7_Breathing,c3m7,Breathing,1,1,1,1,0,4,1,11110
c3m7_Counting1,c3m7,Counting1,1,1,1,1,1,5,1,11111
c3m7_Counting2,c3m7,Counting2,1,1,1,1,1,5,1,11111
c3m7_Counting3,c3m7,Counting3,1,1,1,1,1,5,1,11111
c3m7_Math,c3m7,Math,1,1,1,1,1,5,1,11111
c3m7_Reading,c3m7,Reading,1,1,1,1,1,5,1,11111
c3m7_Relax,c3m7,Relax,1,1,1,1,0,4,1,11110
c3m7_Speaking,c3m7,Speaking,1,1,1,1,1,5,1,11111
c3m7_Stroop,c3m7,Stroop,1,1,1,1,1,5,1,11111
c3m7_Video1,c3m7,Video1,1,1,1,1,0,4,1,11110
c3m7_Video2,c3m7,Video2,1,1,1,1,0,4,1,11110
chdf_Baseline,chdf,Baseline,1,1,1,0,0,3,0,11100
chdf_Breathing,chdf,Breathing,1,1,1,1,0,4,1,11110
chdf_Counting1,chdf,Counting1,1,1,1,1,1,5,1,11111
chdf_Counting2,chdf,Counting2,1,1,1,1,1,5,1,11111
chdf_Counting3,chdf,Counting3,1,1,1,1,1,5,1,11111
chdf_Math,chdf,Math,1,1,1,1,1,5,1,11111
chdf_Reading,chdf,Reading,1,1,1,1,1,5,1,11111
chdf_Relax,chdf,Relax,1,1,1,1,0,4,1,11110
chdf_Speaking,chdf,Speaking,1,1,1,1,1,5,1,11111
chdf_Stroop,chdf,Stroop,1,1,1,1,1,5,1,11111
chdf_Video1,chdf,Video1,1,1,1,1,0,4,1,11110
chdf_Video2,chdf,Video2,1,1,1,1,0,4,1,11110
ctzy_Baseline,ctzy,Baseline,1,1,1,0,0,3,0,11100
ctzy_Breathing,ctzy,Breathing,1,1,1,1,0,4,1,11110
ctzy_Counting1,ctzy,Counting1,1,1,1,1,1,5,1,11111
ctzy_Counting2,ctzy,Counting2,1,1,1,1,1,5,1,11111
ctzy_Counting3,ctzy,Counting3,1,1,1,1,1,5,1,11111
ctzy_Math,ctzy,Math,1,1,1,1,1,5,1,11111
ctzy_Reading,ctzy,Reading,1,1,1,1,1,5,1,11111
ctzy_Relax,ctzy,Relax,1,1,1,1,0,4,1,11110
ctzy_Speaking,ctzy,Speaking,1,1,1,1,1,5,1,11111
ctzy_Stroop,ctzy,Stroop,1,1,1,1,1,5,1,11111
ctzy_Video1,ctzy,Video1,1,1,1,1,0,4,1,11110
ctzy_Video2,ctzy,Video2,1,1,1,1,0,4,1,11110
cxj0_Baseline,cxj0,Baseline,1,1,1,0,0,3,0,11100
cxj0_Breathing,cxj0,Breathing,1,1,1,1,0,4,1,11110
cxj0_Counting1,cxj0,Counting1,1,1,1,1,1,5,1,11111
cxj0_Counting2,cxj0,Counting2,1,1,1,1,1,5,1,11111
cxj0_Counting3,cxj0,Counting3,1,1,1,1,1,5,1,11111
cxj0_Math,cxj0,Math,1,1,1,1,1,5,1,11111
cxj0_Reading,cxj0,Reading,1,1,1,1,1,5,1,11111
cxj0_Relax,cxj0,Relax,1,1,1,1,0,4,1,11110
cxj0_Speaking,cxj0,Speaking,1,1,1,1,1,5,1,11111
cxj0_Stroop,cxj0,Stroop,1,1,1,1,1,5,1,11111
cxj0_Video1,cxj0,Video1,1,1,1,1,0,4,1,11110
cxj0_Video2,cxj0,Video2,1,1,1,1,0,4,1,11110
d4n6_Baseline,d4n6,Baseline,1,1,1,0,0,3,0,11100
d4n6_Breathing,d4n6,Breathing,1,1,1,1,0,4,1,11110
d4n6_Counting1,d4n6,Counting1,1,1,1,1,1,5,1,11111
d4n6_Counting2,d4n6,Counting2,1,1,1,1,1,5,1,11111
d4n6_Counting3,d4n6,Counting3,1,1,1,1,1,5,1,11111
d4n6_Math,d4n6,Math,1,1,1,1,1,5,1,11111
d4n6_Reading,d4n6,Reading,1,1,1,1,1,5,1,11111
d4n6_Relax,d4n6,Relax,1,1,1,1,0,4,1,11110
d4n6_Speaking,d4n6,Speaking,1,1,1,1,1,5,1,11111
d4n6_Stroop,d4n6,Stroop,1,1,1,1,1,5,1,11111
d4n6_Video1,d4n6,Video1,1,1,1,1,0,4,1,11110
d4n6_Video2,d4n6,Video2,1,1,1,1,0,4,1,11110
dmbd_Baseline,dmbd,Baseline,1,1,1,0,0,3,0,11100
dmbd_Breathing,dmbd,Breathing,1,1,1,0,0,3,1,11100
dmbd_Counting1,dmbd,Counting1,1,1,1,0,0,3,1,11100
dmbd_Counting2,dmbd,Counting2,1,1,1,0,0,3,1,11100
dmbd_Counting3,dmbd,Counting3,1,1,1,0,0,3,1,11100
dmbd_Math,dmbd,Math,1,1,1,0,0,3,1,11100
dmbd_Reading,dmbd,Reading,1,1,1,0,0,3,1,11100
dmbd_Relax,dmbd,Relax,1,1,1,0,0,3,1,11100
dmbd_Speaking,dmbd,Speaking,1,1,1,0,0,3,1,11100
dmbd_Stroop,dmbd,Stroop,1,1,1,0,0,3,1,11100
dmbd_Video1,dmbd,Video1,1,1,1,0,0,3,1,11100
dmbd_Video2,dmbd,Video2,1,1,1,0,0,3,1,11100
e5p4_Baseline,e5p4,Baseline,1,1,1,0,0,3,0,11100
e5p4_Breathing,e5p4,Breathing,1,1,1,1,0,4,1,11110
e5p4_Counting1,e5p4,Counting1,1,1,1,1,1,5,1,11111
e5p4_Counting2,e5p4,Counting2,1,1,1,1,1,5,1,11111
e5p4_Counting3,e5p4,Counting3,1,1,1,1,1,5,1,11111
e5p4_Math,e5p4,Math,1,1,1,1,1,5,1,11111
e5p4_Reading,e5p4,Reading,1,1,1,1,1,5,1,11111
e5p4_Relax,e5p4,Relax,1,1,1,1,0,4,1,11110
e5p4_Speaking,e5p4,Speaking,1,1,1,1,1,5,1,11111
e5p4_Stroop,e5p4,Stroop,1,1,1,1,1,5,1,11111
e5p4_Video1,e5p4,Video1,1,1,1,1,0,4,1,11110
e5p4_Video2,e5p4,Video2,1,1,1,1,0,4,1,11110
f6q3_Baseline,f6q3,Baseline,1,1,1,0,0,3,0,11100
f6q3_Breathing,f6q3,Breathing,1,1,1,1,0,4,1,11110
f6q3_Counting1,f6q3,Counting1,1,1,1,1,0,4,1,11110
f6q3_Counting2,f6q3,Counting2,1,1,1,1,0,4,1,11110
f6q3_Counting3,f6q3,Counting3,1,1,1,1,0,4,1,11110
f6q3_Math,f6q3,Math,1,1,1,1,0,4,1,11110
f6q3_Reading,f6q3,Reading,1,1,1,1,0,4,1,11110
f6q3_Relax,f6q3,Relax,1,1,1,1,0,4,1,11110
f6q3_Speaking,f6q3,Speaking,1,1,1,1,0,4,1,11110
f6q3_Stroop,f6q3,Stroop,1,1,1,1,0,4,1,11110
f6q3_Video1,f6q3,Video1,1,1,1,1,0,4,1,11110
f6q3_Video2,f6q3,Video2,1,1,1,1,0,4,1,11110
g7r2_Baseline,g7r2,Baseline,1,1,1,0,0,3,0,11100
g7r2_Breathing,g7r2,Breathing,1,1,1,1,0,4,1,11110
g7r2_Counting1,g7r2,Counting1,1,1,1,1,1,5,1,11111
g7r2_Counting2,g7r2,Counting2,1,1,1,1,1,5,1,11111
g7r2_Counting3,g7r2,Counting3,1,1,1,1,1,5,1,11111
g7r2_Math,g7r2,Math,1,1,1,1,1,5,1,11111
g7r2_Reading,g7r2,Reading,1,1,1,1,1,5,1,11111
g7r2_Relax,g7r2,Relax,1,1,1,1,0,4,1,11110
g7r2_Speaking,g7r2,Speaking,1,1,1,1,1,5,1,11111
g7r2_Stroop,g7r2,Stroop,1,1,1,1,1,5,1,11111
g7r2_Video1,g7r2,Video1,1,1,1,1,0,4,1,11110
g7r2_Video2,g7r2,Video2,1,1,1,1,0,4,1,11110
g9j5_Baseline,g9j5,Baseline,1,1,1,0,0,3,0,11100
g9j5_Breathing,g9j5,Breathing,1,1,1,1,0,4,1,11110
g9j5_Counting1,g9j5,Counting1,1,1,1,1,1,5,1,11111
g9j5_Counting2,g9j5,Counting2,1,1,1,1,1,5,1,11111
g9j5_Counting3,g9j5,Counting3,1,1,1,1,1,5,1,11111
g9j5_Math,g9j5,Math,1,1,1,1,1,5,1,11111
g9j5_Reading,g9j5,Reading,1,1,1,1,1,5,1,11111
g9j5_Relax,g9j5,Relax,1,1,1,1,0,4,1,11110
g9j5_Speaking,g9j5,Speaking,1,1,1,1,1,5,1,11111
g9j5_Stroop,g9j5,Stroop,1,1,1,1,1,5,1,11111
g9j5_Video1,g9j5,Video1,1,1,1,1,0,4,1,11110
g9j5_Video2,g9j5,Video2,1,1,1,1,0,4,1,11110
h7j3_Baseline,h7j3,Baseline,1,1,1,0,0,3,0,11100
h7j3_Breathing,h7j3,Breathing,1,1,1,1,0,4,1,11110
h7j3_Counting1,h7j3,Counting1,1,1,1,1,1,5,1,11111
h7j3_Counting2,h7j3,Counting2,1,1,1,1,1,5,1,11111
h7j3_Counting3,h7j3,Counting3,1,1,1,1,1,5,1,11111
h7j3_Math,h7j3,Math,1,1,1,1,1,5,1,11111
